hospital_id,name,city,state,pin,contact,type,address,lat,lon
H001,All India Institute of Medical Sciences (AIIMS),New Delhi,Delhi,110029,+91-011-26588300,Government,"AIIMS Rd, Ansari Nagar",28.5672,77.21
H002,Sir Ganga Ram Hospital,New Delhi,Delhi,110060,+91-011-25751111,Private,"Rajendra Place, New Delhi",28.6328,77.1999
H003,"Max Super Speciality Hospital, Saket",Saket,Delhi,110017,+91-011-2651-5050,Private,"Saket, New Delhi",28.5246,77.2144
H004,Fortis Escorts Heart Institute,Okhla,Delhi,110025,+91-011-30651000,Private,Okhla Road,28.5448,77.249
H005,Apollo Cradle and Children's Hospital,New Delhi,Delhi,110007,+91-011-4266-3333,Private,New Friends Colony,28.5669,77.2687
H006,BLK Super Speciality Hospital,Pusa Road,Delhi,110005,+91-011-39871600,Private,"Pusa Rd, New Delhi",28.6441,77.1945
H007,"Govt. Hospital, Dehradun",Dehradun,Uttarakhand,248001,+91-135-2760000,Government,"Civic Centre, Dehradun",30.3165,78.0322
H008,Synergy Hospital Dehradun,Dehradun,Uttarakhand,248001,+91-9998812345,Private,Rajpur Road,30.3285,78.0792
H009,Medanta Gurugram,Gurugram,Haryana,122001,+91-124-4141414,Private,Gurugram,28.4595,77.0266
H010,Artemis Hospital,Gurugram,Haryana,122008,+91-124-6123456,Private,Gurugram,28.4595,77.0266
H011,Fortis Memorial Research Institute,Gurugram,Haryana,122001,+91-124-4677700,Private,Sector 44,28.47,77.02
H012,"Max Hospital, Vaishali",Ghaziabad,Uttar Pradesh,201010,+91-120-4300700,Private,Vaishali,28.6428,77.3506
H013,"Holy Family Hospital, Okhla",New Delhi,Delhi,110025,+91-011-26965100,Private,Okhla,28.5549,77.256
H014,Deen Dayal Upadhyay Hospital,Delhi,Delhi,110091,+91-011-27570000,Government,North East Delhi,28.7088,77.2239
H015,Lok Nayak Jayaprakash Narayan Hospital,New Delhi,Delhi,110002,+91-011-23233787,Government,Connaught Place,28.6338,77.2197
H016,Noida International Hospital,Noida,Uttar Pradesh,201301,+91-120-4070000,Private,Noida,28.5355,77.391
H017,Yatharth Super Speciality Hospital,Greater Noida,Uttar Pradesh,201310,+91-120-4050000,Private,Greater Noida,28.4744,77.503
H018,"District Hospital, Ghaziabad",Ghaziabad,Uttar Pradesh,201001,+91-120-1234567,Government,Ghaziabad,28.6692,77.4538
H019,"Park Hospital, Rohini",Rohini,Delhi,110085,+91-11-27000000,Private,Sector 18 Rohini,28.721,77.1258
H020,"Columbia Asia Hospital, Palam Vihar",Gurugram,Haryana,122017,+91-124-4511111,Private,Palam Vihar,28.4689,77.0584
H021,"Sadar Hospital, Dehradun",Dehradun,Uttarakhand,248001,+91-135-6677000,Government,Dehradun Cantonment,30.3196,78.032
H022,Healing Touch Hospital,Noida,Uttar Pradesh,201301,+91-120-9998887,Private,Noida,28.57,77.32
H023,"CityCare Hospital, New Delhi",New Delhi,Delhi,110024,+91-9876543210,Private,Lajpat Nagar,28.5665,77.242
H024,"Pratiksha Hospital, Dehradun",Dehradun,Uttarakhand,248001,+91-135-2761234,Private,Rajpur Road,30.325,78.071
H025,"Rainbow Children's Clinic, Noida",Noida,Uttar Pradesh,201301,+91-120-3334445,Private,Noida,28.5355,77.391
H026,RML Hospital,New Delhi,Delhi,110001,+91-11-23379337,Government,Baba Kharak Singh Marg,28.6415,77.2219
H027,Indian Spinal Injuries Centre,New Delhi,Delhi,110001,+91-11-26863000,Private,Vasant Kunj,28.5244,77.18
H028,Aakash Healthcare,Noida,Uttar Pradesh,201301,+91-120-4445556,Private,Sector 18,28.57,77.32
H029,"Shalby Hospital, Gurugram",Gurugram,Haryana,122002,+91-124-4242424,Private,Gurugram,28.471,77.046
H030,"Sukhda Hospital, Dehradun",Dehradun,Uttarakhand,248002,+91-135-2769999,Private,Dalanwala,30.318,78.0267
H031,"Community Health Centre, Najafgarh",Najafgarh,Delhi,110043,+91-11-28000000,Government,Najafgarh,28.6486,76.976
H032,"Community Health Centre, Narela",Narela,Delhi,110040,+91-11-28001111,Government,Narela,28.7236,77.1469
H033,Moolchand Hospital,Lajpat Nagar,Delhi,110024,+91-11-42448000,Private,Lajpat Nagar,28.5663,77.2422
H034,Ganga Ram Marg Clinic,New Delhi,Delhi,110060,+91-11-25000000,Private,Rajendra Place,28.6325,77.201
H035,Venkatesh Hospital,Ghaziabad,Uttar Pradesh,201009,+91-120-7890000,Private,Ghaziabad,28.65,77.4167
H036,Metro Hospital & Heart Institute,Noida,Uttar Pradesh,201301,+91-120-7770000,Private,Noida,28.57,77.32
H037,"Sanjeevani Hospital, Gurugram",Gurugram,Haryana,122018,+91-124-6667777,Private,Gurugram,28.4678,77.0263
H038,Dehradun Medical Center,Dehradun,Uttarakhand,248002,+91-135-2764455,Private,Dehradun,30.319,78.032
H039,"Ankur Clinic, Delhi Cantt",Delhi Cantt,Delhi,110010,+91-11-25600000,Private,Delhi Cantt,28.5941,77.1661
H040,"CarePoint Hospital, Faridabad",Faridabad,Haryana,121001,+91-129-4000000,Private,Faridabad,28.4089,77.3178
H041,"Metro Polyclinic, Noida",Noida,Uttar Pradesh,201301,+91-120-6666000,Private,Sector 62,28.6353,77.378
